worm_id,B,strain,diet,TO
1,1,daf,AL,311
2,1,daf,AL,214
3,1,daf,AL,211
4,1,daf,AL,369
5,1,daf,AL,356
6,1,daf,AL,166
7,1,daf,AL,307
8,1,daf,AL,274
9,1,daf,AL,176
10,1,daf,AL,396
11,1,daf,AL,255
12,1,daf,AL,179
64,1,daf,EODF,206
65,1,daf,EODF,242
66,1,daf,EODF,174
67,1,daf,EODF,175
68,1,daf,EODF,277
69,1,daf,EODF,235
NA,1,daf,EODF,189
NA,1,daf,EODF,234
72,1,daf,EODF,142
121,1,empty_vector,AL,289
122,1,empty_vector,AL,204
123,1,empty_vector,AL,248
124,1,empty_vector,AL,271
125,1,empty_vector,AL,225
126,1,empty_vector,AL,310
127,1,empty_vector,AL,294
128,1,empty_vector,AL,413
129,1,empty_vector,AL,327
130,1,empty_vector,AL,219
131,1,empty_vector,AL,274
132,1,empty_vector,AL,276
181,1,empty_vector,EODF,185
182,1,empty_vector,EODF,129
183,1,empty_vector,EODF,209
184,1,empty_vector,EODF,206
185,1,empty_vector,EODF,243
186,1,empty_vector,EODF,145
187,1,empty_vector,EODF,123
188,1,empty_vector,EODF,226
189,1,empty_vector,EODF,229
190,1,empty_vector,EODF,268
191,1,empty_vector,EODF,152
192,1,empty_vector,EODF,195
61,1,empty_vector ,EODF,210
62,1,empty_vector ,EODF,194
63,1,empty_vector ,EODF,165
13,2,daf,AL,157
14,2,daf,AL,256
15,2,daf,AL,159
16,2,daf,AL,167
17,2,daf,AL,186
18,2,daf,AL,183
19,2,daf,AL,138
20,2,daf,AL,166
21,2,daf,AL,206
22,2,daf,AL,179
23,2,daf,AL,238
24,2,daf,AL,225
13,2,daf,AL,157
14,2,daf,AL,256
15,2,daf,AL,159
16,2,daf,AL,167
17,2,daf,AL,186
18,2,daf,AL,183
19,2,daf,AL,138
20,2,daf,AL,166
21,2,daf,AL,206
22,2,daf,AL,179
23,2,daf,AL,238
24,2,daf,AL,225
73,2,daf,EODF,168
74,2,daf,EODF,281
75,2,daf,EODF,231
76,2,daf,EODF,207
77,2,daf,EODF,136
78,2,daf,EODF,163
79,2,daf,EODF,93
80,2,daf,EODF,191
81,2,daf,EODF,265
82,2,daf,EODF,79
83,2,daf,EODF,255
84,2,daf,EODF,181
73,2,daf,EODF,168
74,2,daf,EODF,281
75,2,daf,EODF,231
76,2,daf,EODF,207
77,2,daf,EODF,136
78,2,daf,EODF,163
79,2,daf,EODF,93
80,2,daf,EODF,191
81,2,daf,EODF,265
82,2,daf,EODF,79
83,2,daf,EODF,255
84,2,daf,EODF,181
133,2,empty_vector,AL,163
133,2,empty_vector,AL,163
134,2,empty_vector,AL,242
135,2,empty_vector,AL,388
136,2,empty_vector,AL,194
137,2,empty_vector,AL,300
138,2,empty_vector,AL,361
139,2,empty_vector,AL,265
140,2,empty_vector,AL,281
141,2,empty_vector,AL,328
142,2,empty_vector,AL,284
143,2,empty_vector,AL,201
144,2,empty_vector,AL,239
134,2,empty_vector,eodf,242
135,2,empty_vector,eodf,388
136,2,empty_vector,eodf,194
137,2,empty_vector,eodf,300
138,2,empty_vector,eodf,361
139,2,empty_vector,eodf,265
140,2,empty_vector,eodf,281
141,2,empty_vector,eodf,328
142,2,empty_vector,eodf,284
143,2,empty_vector,eodf,201
144,2,empty_vector,eodf,239
193,2,empty_vector,EODF,198
194,2,empty_vector,EODF,203
195,2,empty_vector,EODF,131
196,2,empty_vector,EODF,144
197,2,empty_vector,EODF,181
198,2,empty_vector,EODF,219
199,2,empty_vector,EODF,122
200,2,empty_vector,EODF,9999
201,2,empty_vector,EODF,9999
202,2,empty_vector,EODF,9999
203,2,empty_vector,EODF,183
204,2,empty_vector,EODF,113
193,2,empty_vector,EODF,198
194,2,empty_vector,EODF,203
195,2,empty_vector,EODF,131
196,2,empty_vector,EODF,144
197,2,empty_vector,EODF,181
198,2,empty_vector,EODF,219
199,2,empty_vector,EODF,122
200,2,empty_vector,EODF,145
201,2,empty_vector,EODF,187
202,2,empty_vector,EODF,251
203,2,empty_vector,EODF,183
204,2,empty_vector,EODF,113
37,4,daf,AL,180
38,4,daf,AL,280
39,4,daf,AL,191
40,4,daf,AL,248
41,4,daf,AL,129
42,4,daf,AL,266
43,4,daf,AL,255
44,4,daf,AL,207
45,4,daf,AL,198
46,4,daf,AL,187
47,4,daf,AL,2850
48,4,daf,AL,155
97,4,daf,EODF,217
98,4,daf,EODF,168
99,4,daf,EODF,193
100,4,daf,EODF,113
101,4,daf,EODF,110
102,4,daf,EODF,133
103,4,daf,EODF,200
104,4,daf,EODF,97
105,4,daf,EODF,150
106,4,daf,EODF,161
107,4,daf,EODF,133
108,4,daf,EODF,184
161,4,empty_vector,AL,290
162,4,empty_vector,AL,174
163,4,empty_vector,AL,160
164,4,empty_vector,AL,145
165,4,empty_vector,AL,291
166,4,empty_vector,AL,106
167,4,empty_vector,AL,213
168,4,empty_vector,AL,260
157,4,empty_vector,eodf,251
158,4,empty_vector,eodf,233
159,4,empty_vector,eodf,199
160,4,empty_vector,eodf,252
217,4,empty_vector,EODF,236
218,4,empty_vector,EODF,216
219,4,empty_vector,EODF,124
220,4,empty_vector,EODF,270
49,5,daf,AL,91
50,5,daf,AL,174
51,5,daf,AL,203
52,5,daf,AL,184
53,5,daf,AL,257
54,5,daf,AL,206
55,5,daf,AL,222
56,5,daf,AL,276
57,5,daf,AL,143
